county,number
Adams ,4
Alexander ,1
Bond ,1
Boone ,19
Brown ,1
Bureau ,4
Cass ,3
Champaign ,173
Christian ,5
Clark ,2
Clinton ,2
Coles ,14
Cook ,2315
Crawford ,3
Cumberland ,2
Dekalb ,23
Dewitt ,3
Douglas ,9
Dupage ,704
Edgar ,3
Edwards ,1
Effingham ,6
Fayette ,1
Ford ,3
Franklin ,5
Fulton ,6
Greene ,2
Grundy ,16
Hamilton ,2
Hancock ,4
Henry ,15
Iroquois ,6
Jackson ,15
Jasper ,4
Jefferson ,5
Jersey ,3
Jo Daviess ,1
Johnson ,1
Kane ,164
Kankakee ,35
Kendall ,32
Knox ,5
La Salle ,27
Lake ,563
Lawrence ,5
Lee ,12
Livingston ,17
Logan ,4
Macon ,28
Macoupin ,13
Madison ,40
Marion ,4
Marshall ,3
Mason ,4
Massac ,2
McDonough ,9
McHenry ,100
McLean ,50
Mcdonough ,1
Mchenry ,14
Mclean ,6
Menard ,4
Mercer ,1
Monroe ,10
Montgomery ,6
Morgan ,10
Moultrie ,4
Ogle ,12
Peoria ,55
Perry ,1
Piatt ,13
Pike ,3
Randolph ,2
Richland ,2
Rock Island ,16
Saint Clair ,50
Saline ,3
Sangamon ,50
Schuyler ,1
Scott ,2
Shelby ,1
Stark ,4
Stephenson ,5
Tazewell ,36
Union ,2
Vermilion ,16
Wabash ,3
Warren ,4
Washington ,2
Wayne ,2
White ,1
Whiteside ,9
Will ,398
Williamson ,6
Winnebago ,53
Woodford ,3
